County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Hancock County	$1,474	$1,731	$1,824	$2,034	$2,067
Hardin County	$1,343	$1,577	$1,662	$1,853	$1,883
Harrison County	$1,209	$1,420	$1,496	$1,668	$1,695
Henry County	$1,387	$1,629	$1,717	$1,914	$1,945
Highland County	$1,336	$1,570	$1,654	$1,844	$1,874
Hocking County	$1,392	$1,635	$1,723	$1,921	$1,952
Holmes County	$1,569	$1,843	$1,942	$2,165	$2,200
Huron County	$1,353	$1,589	$1,674	$1,867	$1,897
Jackson County	$1,363	$1,601	$1,687	$1,881	$1,911
Jefferson County	$1,277	$1,499	$1,580	$1,762	$1,790
Knox County	$1,522	$1,788	$1,884	$2,101	$2,135
Lake County	$1,579	$1,854	$1,954	$2,179	$2,214
Lawrence County	$1,354	$1,591	$1,676	$1,869	$1,899
Licking County	$1,723	$2,023	$2,132	$2,377	$2,416
Logan County	$1,423	$1,671	$1,761	$1,964	$1,995
Lorain County	$1,607	$1,888	$1,989	$2,218	$2,254
Lucas County	$1,493	$1,754	$1,848	$2,061	$2,094
Madison County	$1,563	$1,836	$1,935	$2,158	$2,192
Mahoning County	$1,353	$1,589	$1,674	$1,867	$1,897
Marion County	$1,337	$1,571	$1,655	$1,845	$1,875
Medina County	$1,757	$2,063	$2,174	$2,424	$2,463
Meigs County	$1,259	$1,479	$1,558	$1,737	$1,765
Mercer County	$1,389	$1,631	$1,719	$1,917	$1,948
Miami County	$1,498	$1,759	$1,854	$2,067	$2,101
Monroe County	$1,251	$1,469	$1,548	$1,726	$1,754
Montgomery County	$1,496	$1,758	$1,852	$2,065	$2,098
Morgan County	$1,276	$1,498	$1,579	$1,761	$1,789
Morrow County	$1,547	$1,816	$1,914	$2,134	$2,169
Muskingum County	$1,403	$1,648	$1,737	$1,937	$1,968
Noble County	$1,366	$1,604	$1,690	$1,884	$1,915
Ottawa County	$1,509	$1,772	$1,867	$2,082	$2,115
Paulding County	$1,293	$1,518	$1,600	$1,784	$1,813
Perry County	$1,388	$1,630	$1,718	$1,916	$1,946
Pickaway County	$1,694	$1,990	$2,097	$2,338	$2,376
Pike County	$1,387	$1,629	$1,717	$1,914	$1,945
Portage County	$1,624	$1,907	$2,010	$2,241	$2,277
Preble County	$1,398	$1,642	$1,730	$1,929	$1,960
Putnam County	$1,448	$1,701	$1,792	$1,998	$2,030
Richland County	$1,346	$1,581	$1,666	$1,858	$1,888
Ross County	$1,437	$1,688	$1,779	$1,984	$2,016
Sandusky County	$1,330	$1,562	$1,646	$1,835	$1,865
Scioto County	$1,376	$1,616	$1,703	$1,899	$1,929
Seneca County	$1,305	$1,533	$1,615	$1,801	$1,830
Shelby County	$1,476	$1,734	$1,827	$2,037	$2,070
Stark County	$1,429	$1,678	$1,768	$1,971	$2,003
Summit County	$1,547	$1,817	$1,915	$2,135	$2,170
Trumbull County	$1,278	$1,501	$1,582	$1,764	$1,792
Tuscarawas County	$1,396	$1,640	$1,728	$1,927	$1,958
Union County	$1,903	$2,235	$2,355	$2,626	$2,668
Van Wert County	$1,240	$1,457	$1,535	$1,712	$1,739
Vinton County	$1,268	$1,489	$1,569	$1,749	$1,778
Warren County	$1,938	$2,277	$2,399	$2,675	$2,718
Washington County	$1,368	$1,607	$1,693	$1,888	$1,918
Wayne County	$1,481	$1,740	$1,833	$2,044	$2,077
Williams County	$1,304	$1,532	$1,614	$1,800	$1,829
Wood County	$1,674	$1,966	$2,072	$2,310	$2,348
Wyandot County	$1,375	$1,615	$1,702	$1,898	$1,928



