alabama
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Dillingham Census Area	$2,280	$2,678	$2,822	$3,147	$3,197
Fairbanks North Star Borough	$2,145	$2,520	$2,655	$2,960	$3,008
Haines Borough	$1,866	$2,191	$2,309	$2,575	$2,616
Hoonah-Angoon Census Area	$1,578	$1,853	$1,953	$2,178	$2,213
Juneau City and Borough	$2,329	$2,736	$2,883	$3,215	$3,266
Kenai Peninsula Borough	$1,916	$2,250	$2,371	$2,644	$2,686
Ketchikan Gateway Borough	$2,189	$2,571	$2,709	$3,021	$3,069
Kodiak Island Borough	$2,243	$2,634	$2,776	$3,095	$3,145
Kusilvak Census Area	$861	$1,011	$1,065	$1,187	$1,207
Lake and Peninsula Borough	$1,057	$1,241	$1,308	$1,458	$1,482
Matanuska-Susitna Borough	$2,009	$2,359	$2,486	$2,772	$2,817
Nome Census Area	$1,803	$2,117	$2,231	$2,488	$2,528
North Slope Borough	$1,414	$1,661	$1,750	$1,951	$1,983
Northwest Arctic Borough	$1,681	$1,975	$2,081	$2,320	$2,358
Petersburg Census Area	$1,780	$2,091	$2,203	$2,456	$2,496
Prince of Wales-Hyder Census Area	$1,868	$2,194	$2,312	$2,578	$2,619
Sitka City and Borough	$2,468	$2,899	$3,055	$3,406	$3,461
Skagway Municipality	$2,349	$2,759	$2,907	$3,241	$3,294
Southeast Fairbanks Census Area	$1,755	$2,061	$2,172	$2,422	$2,461
Wrangell City and Borough	$1,622	$1,905	$2,007	$2,238	$2,274
Yakutat City and Borough	$1,393	$1,636	$1,724	$1,922	$1,953
Yukon-Koyukuk Census Area	$1,357	$1,593	$1,679	$1,872	$1,902


arizona
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Apache County	$1,351	$1,587	$1,672	$1,864	$1,894
Cochise County	$1,460	$1,715	$1,807	$2,015	$2,047
Coconino County	$1,990	$2,337	$2,463	$2,746	$2,791
Gila County	$1,605	$1,886	$1,987	$2,216	$2,251
Graham County	$1,528	$1,795	$1,891	$2,108	$2,143
Greenlee County	$1,175	$1,380	$1,454	$1,621	$1,647
La Paz County	$1,314	$1,543	$1,626	$1,813	$1,842
Maricopa County	$1,980	$2,326	$2,451	$2,733	$2,777
Mohave County	$1,446	$1,698	$1,789	$1,995	$2,027
Navajo County	$1,454	$1,707	$1,799	$2,006	$2,038
Pima County	$1,680	$1,973	$2,079	$2,318	$2,356
Pinal County	$1,740	$2,044	$2,154	$2,402	$2,440
Santa Cruz County	$1,373	$1,612	$1,699	$1,894	$1,925
Yavapai County	$1,711	$2,009	$2,117	$2,360	$2,399
Yuma County	$1,441	$1,692	$1,783	$1,988	$2,020


arkansas
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Arkansas County	$1,312	$1,541	$1,624	$1,811	$1,840
Ashley County	$1,277	$1,500	$1,581	$1,763	$1,791
Baxter County	$1,260	$1,479	$1,559	$1,738	$1,766
Benton County	$1,679	$1,972	$2,078	$2,317	$2,354
Boone County	$1,315	$1,544	$1,627	$1,814	$1,843
Bradley County	$1,199	$1,408	$1,484	$1,655	$1,681
Calhoun County	$1,242	$1,459	$1,537	$1,714	$1,741
Carroll County	$1,396	$1,640	$1,728	$1,927	$1,958
Chicot County	$1,157	$1,359	$1,432	$1,597	$1,622
Clark County	$1,342	$1,576	$1,661	$1,852	$1,882
Clay County	$1,141	$1,340	$1,412	$1,574	$1,600
Cleburne County	$1,300	$1,527	$1,609	$1,794	$1,823
Cleveland County	$1,277	$1,499	$1,580	$1,762	$1,790
Columbia County	$1,350	$1,586	$1,671	$1,863	$1,893
Conway County	$1,267	$1,488	$1,568	$1,748	$1,777
Craighead County	$1,416	$1,664	$1,753	$1,955	$1,986
Crawford County	$1,330	$1,562	$1,646	$1,835	$1,865
Crittenden County	$1,408	$1,654	$1,743	$1,943	$1,975
Cross County	$1,350	$1,586	$1,671	$1,863	$1,893
Dallas County	$1,211	$1,423	$1,499	$1,671	$1,698
Desha County	$1,186	$1,393	$1,468	$1,637	$1,663
Drew County	$1,293	$1,518	$1,600	$1,784	$1,813
Faulkner County	$1,471	$1,728	$1,821	$2,030	$2,063
Franklin County	$1,227	$1,442	$1,519	$1,694	$1,721
Fulton County	$1,215	$1,427	$1,504	$1,677	$1,704
Garland County	$1,363	$1,601	$1,687	$1,881	$1,911
Grant County	$1,496	$1,757	$1,851	$2,064	$2,097
Greene County	$1,351	$1,587	$1,672	$1,864	$1,894
Hempstead County	$1,252	$1,471	$1,550	$1,728	$1,756
Hot Spring County	$1,285	$1,509	$1,590	$1,773	$1,801
Howard County	$1,294	$1,519	$1,601	$1,785	$1,814
Independence County	$1,214	$1,426	$1,503	$1,676	$1,703
Izard County	$1,172	$1,377	$1,451	$1,618	$1,644
Jackson County	$1,151	$1,351	$1,424	$1,588	$1,613
Jefferson County	$1,318	$1,548	$1,631	$1,819	$1,848
Johnson County	$1,266	$1,487	$1,567	$1,747	$1,775
Lafayette County	$1,093	$1,284	$1,353	$1,509	$1,533
Lawrence County	$1,104	$1,296	$1,366	$1,523	$1,548
Lee County	$1,206	$1,417	$1,493	$1,665	$1,692
Lincoln County	$1,239	$1,456	$1,534	$1,710	$1,738
Little River County	$1,237	$1,453	$1,531	$1,707	$1,735
Logan County	$1,203	$1,413	$1,489	$1,660	$1,687
Lonoke County	$1,488	$1,748	$1,842	$2,054	$2,087
Madison County	$1,239	$1,456	$1,534	$1,710	$1,738
Marion County	$1,218	$1,430	$1,507	$1,680	$1,707
Miller County	$1,437	$1,688	$1,779	$1,984	$2,016
Mississippi County	$1,313	$1,542	$1,625	$1,812	$1,841
Monroe County	$1,166	$1,369	$1,443	$1,609	$1,635
Montgomery County	$1,341	$1,575	$1,660	$1,851	$1,881
Nevada County	$1,129	$1,326	$1,397	$1,558	$1,583
Newton County	$1,291	$1,517	$1,598	$1,782	$1,811
Ouachita County	$1,204	$1,414	$1,490	$1,661	$1,688
Perry County	$1,218	$1,431	$1,508	$1,681	$1,709
Phillips County	$1,260	$1,479	$1,559	$1,738	$1,766
Pike County	$1,233	$1,448	$1,526	$1,701	$1,729
Poinsett County	$1,161	$1,364	$1,437	$1,602	$1,628
Polk County	$1,247	$1,464	$1,543	$1,720	$1,748
Pope County	$1,275	$1,498	$1,578	$1,759	$1,788
Prairie County	$1,236	$1,452	$1,530	$1,706	$1,733
Pulaski County	$1,553	$1,824	$1,922	$2,143	$2,178
Randolph County	$1,168	$1,371	$1,445	$1,611	$1,637
St. Francis County	$1,173	$1,378	$1,452	$1,619	$1,645
Saline County	$1,513	$1,777	$1,872	$2,087	$2,121
Scott County	$1,216	$1,428	$1,505	$1,678	$1,705
Searcy County	$1,311	$1,539	$1,622	$1,809	$1,838
Sebastian County	$1,369	$1,608	$1,694	$1,889	$1,919
Sevier County	$1,235	$1,451	$1,529	$1,705	$1,732
Sharp County	$1,147	$1,347	$1,419	$1,582	$1,608
Stone County	$1,261	$1,481	$1,561	$1,741	$1,769
Union County	$1,347	$1,582	$1,667	$1,859	$1,889
Van Buren County	$1,291	$1,517	$1,598	$1,782	$1,811
Washington County	$1,623	$1,907	$2,009	$2,240	$2,276
White County	$1,330	$1,562	$1,646	$1,835	$1,865
Woodruff County	$1,296	$1,522	$1,604	$1,788	$1,817
Yell County	$1,297	$1,523	$1,605	$1,790	$1,818


california
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Alameda County	$3,369	$3,956	$4,169	$4,648	$4,723
Alpine County	$2,446	$2,873	$3,027	$3,375	$3,430
Amador County	$2,150	$2,525	$2,661	$2,967	$3,015
Butte County	$2,035	$2,390	$2,518	$2,808	$2,853
Calaveras County	$2,188	$2,570	$2,708	$3,019	$3,068
Colusa County	$1,964	$2,307	$2,431	$2,711	$2,754
Contra Costa County	$3,085	$3,623	$3,818	$4,257	$4,326
Del Norte County	$1,699	$1,996	$2,103	$2,345	$2,383
El Dorado County	$2,736	$3,213	$3,386	$3,775	$3,836
Fresno County	$2,003	$2,353	$2,479	$2,764	$2,809
Glenn County	$1,820	$2,137	$2,252	$2,511	$2,552
Humboldt County	$2,073	$2,434	$2,565	$2,860	$2,906
Imperial County	$1,817	$2,134	$2,249	$2,508	$2,548
Inyo County	$2,238	$2,629	$2,770	$3,089	$3,138
Kern County	$1,925	$2,261	$2,383	$2,657	$2,700
Kings County	$1,849	$2,171	$2,288	$2,551	$2,592
Lake County	$1,930	$2,266	$2,388	$2,663	$2,706
Lassen County	$1,759	$2,066	$2,177	$2,427	$2,467
Los Angeles County	$2,877	$3,379	$3,561	$3,971	$4,035
Madera County	$2,000	$2,349	$2,475	$2,760	$2,804
Marin County	$4,134	$4,855	$5,116	$5,704	$5,796
Mariposa County	$2,052	$2,410	$2,539	$2,831	$2,877
Mendocino County	$2,282	$2,680	$2,824	$3,149	$3,200
Merced County	$1,892	$2,223	$2,342	$2,611	$2,653
Modoc County	$1,436	$1,686	$1,777	$1,981	$2,013
Mono County	$2,474	$2,906	$3,062	$3,414	$3,469
Monterey County	$2,674	$3,141	$3,310	$3,691	$3,750
Napa County	$3,067	$3,602	$3,796	$4,233	$4,301
Nevada County	$2,586	$3,037	$3,200	$3,568	$3,626
Orange County	$3,112	$3,655	$3,851	$4,294	$4,363
Placer County	$2,801	$3,289	$3,466	$3,865	$3,927
Plumas County	$1,861	$2,186	$2,303	$2,568	$2,609
Riverside County	$2,436	$2,861	$3,015	$3,362	$3,416
Sacramento County	$2,341	$2,749	$2,897	$3,230	$3,282
San Benito County	$3,053	$3,586	$3,779	$4,214	$4,282
San Bernardino County	$2,212	$2,598	$2,738	$3,053	$3,102
San Diego County	$2,958	$3,474	$3,661	$4,082	$4,148
San Francisco County	$3,998	$4,696	$4,948	$5,517	$5,606
San Joaquin County	$2,338	$2,745	$2,893	$3,226	$3,278
San Luis Obispo County	$2,727	$3,203	$3,375	$3,763	$3,824
San Mateo County	$3,882	$4,560	$4,805	$5,358	$5,444
Santa Barbara County	$2,780	$3,265	$3,440	$3,836	$3,898
Santa Clara County	$3,920	$4,605	$4,852	$5,410	$5,497
Santa Cruz County	$3,280	$3,852	$4,059	$4,526	$4,599
Shasta County	$1,971	$2,315	$2,439	$2,719	$2,763
Sierra County	$1,831	$2,150	$2,266	$2,527	$2,567
Siskiyou County	$1,765	$2,073	$2,184	$2,435	$2,474
Solano County	$2,590	$3,042	$3,205	$3,574	$3,631
Sonoma County	$2,897	$3,403	$3,586	$3,998	$4,063
Stanislaus County	$2,102	$2,468	$2,601	$2,900	$2,947
Sutter County	$2,039	$2,394	$2,523	$2,813	$2,859
Tehama County	$1,777	$2,087	$2,199	$2,452	$2,491
Trinity County	$1,891	$2,221	$2,340	$2,609	$2,651
Tulare County	$1,830	$2,149	$2,265	$2,525	$2,566
Tuolumne County	$2,224	$2,613	$2,753	$3,070	$3,119
Ventura County	$2,920	$3,430	$3,614	$4,030	$4,095
Yolo County	$2,540	$2,984	$3,144	$3,506	$3,562
Yuba County	$2,123	$2,493	$2,627	$2,929	$2,976


colorado
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Adams County	$2,156	$2,532	$2,668	$2,975	$3,023
Alamosa County	$1,427	$1,676	$1,766	$1,969	$2,001
Arapahoe County	$2,224	$2,613	$2,753	$3,070	$3,119
Archuleta County	$1,846	$2,168	$2,285	$2,548	$2,589
Baca County	$1,220	$1,433	$1,510	$1,684	$1,711
Bent County	$1,311	$1,539	$1,622	$1,809	$1,838
Boulder County	$2,503	$2,940	$3,098	$3,454	$3,510
Broomfield County	$2,378	$2,793	$2,943	$3,281	$3,334
Chaffee County	$1,858	$2,183	$2,300	$2,565	$2,606
Cheyenne County	$1,418	$1,665	$1,755	$1,957	$1,988
Clear Creek County	$2,135	$2,507	$2,642	$2,946	$2,993
Conejos County	$1,325	$1,556	$1,640	$1,829	$1,858
Costilla County	$1,374	$1,614	$1,701	$1,897	$1,927
Crowley County	$1,333	$1,566	$1,650	$1,840	$1,869
Custer County	$1,809	$2,125	$2,239	$2,496	$2,537
Delta County	$1,566	$1,839	$1,938	$2,161	$2,196
Denver County	$2,270	$2,666	$2,809	$3,132	$3,183
Dolores County	$1,356	$1,592	$1,678	$1,871	$1,901
Douglas County	$2,652	$3,115	$3,282	$3,659	$3,719
Eagle County	$2,593	$3,045	$3,209	$3,578	$3,636
Elbert County	$2,563	$3,010	$3,172	$3,537	$3,594
El Paso County	$2,027	$2,381	$2,509	$2,798	$2,843
Fremont County	$1,599	$1,878	$1,979	$2,207	$2,242
Garfield County	$2,198	$2,581	$2,720	$3,033	$3,082
Gilpin County	$2,084	$2,447	$2,579	$2,876	$2,922
Grand County	$1,993	$2,340	$2,466	$2,750	$2,794
Gunnison County	$2,073	$2,434	$2,565	$2,860	$2,906
Hinsdale County	$2,161	$2,538	$2,674	$2,982	$3,030
Huerfano County	$1,427	$1,676	$1,766	$1,969	$2,001
Jackson County	$1,516	$1,780	$1,876	$2,092	$2,126
Jefferson County	$2,263	$2,658	$2,801	$3,123	$3,174
Kiowa County	$1,311	$1,540	$1,623	$1,810	$1,839
Kit Carson County	$1,540	$1,809	$1,906	$2,125	$2,159
Lake County	$1,788	$2,100	$2,213	$2,467	$2,507
La Plata County	$2,066	$2,427	$2,557	$2,851	$2,897
Larimer County	$2,198	$2,581	$2,720	$3,033	$3,082
Las Animas County	$1,532	$1,799	$1,896	$2,114	$2,148
Lincoln County	$1,612	$1,893	$1,995	$2,224	$2,260
Logan County	$1,639	$1,926	$2,029	$2,262	$2,299
Mesa County	$1,657	$1,946	$2,051	$2,287	$2,324
Mineral County	$1,824	$2,142	$2,257	$2,517	$2,557
Moffat County	$1,656	$1,945	$2,049	$2,285	$2,322
Montezuma County	$1,592	$1,870	$1,970	$2,197	$2,232
Montrose County	$1,636	$1,922	$2,025	$2,258	$2,294
Morgan County	$1,911	$2,244	$2,365	$2,637	$2,680
Otero County	$1,331	$1,563	$1,647	$1,836	$1,866
Ouray County	$1,970	$2,314	$2,438	$2,718	$2,762
Park County	$1,984	$2,330	$2,455	$2,737	$2,782
Phillips County	$1,566	$1,839	$1,938	$2,161	$2,196
Pitkin County	$2,650	$3,113	$3,280	$3,657	$3,716
Prowers County	$1,345	$1,579	$1,664	$1,855	$1,885
Pueblo County	$1,622	$1,906	$2,008	$2,239	$2,275
Rio Blanco County	$1,559	$1,832	$1,930	$2,152	$2,187
Rio Grande County	$1,439	$1,690	$1,781	$1,986	$2,018
Routt County	$2,380	$2,795	$2,945	$3,284	$3,337
Saguache County	$1,467	$1,722	$1,815	$2,024	$2,056
San Juan County	$1,830	$2,149	$2,265	$2,525	$2,566
San Miguel County	$2,329	$2,735	$2,882	$3,213	$3,265
Sedgwick County	$1,268	$1,489	$1,569	$1,749	$1,778
Summit County	$2,347	$2,757	$2,905	$3,239	$3,291
Teller County	$1,810	$2,126	$2,240	$2,498	$2,538
Washington County	$1,651	$1,939	$2,043	$2,278	$2,315
Weld County	$2,127	$2,498	$2,632	$2,935	$2,982
Yuma County	$1,643	$1,929	$2,033	$2,267	$2,303


connecticut
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Capitol Planning Region	$2,234	$2,624	$2,765	$3,083	$3,133
Greater Bridgeport Planning Region	$2,658	$3,121	$3,289	$3,667	$3,726
Lower Connecticut River Valley Planning Region	$2,323	$2,728	$2,875	$3,206	$3,257
Naugatuck Valley Planning Region	$2,205	$2,590	$2,729	$3,043	$3,092
Northeastern Connecticut Planning Region	$1,998	$2,347	$2,473	$2,757	$2,802
Northwest Hills Planning Region	$2,165	$2,543	$2,680	$2,988	$3,036
South Central Connecticut Planning Region	$2,341	$2,749	$2,897	$3,230	$3,282
Southeastern Connecticut Planning Region	$2,109	$2,477	$2,610	$2,910	$2,957
Western Connecticut Planning Region	$3,272	$3,843	$4,049	$4,515	$4,588


delaware
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Kent County	$1,740	$2,044	$2,154	$2,402	$2,440
New Castle County	$1,955	$2,297	$2,420	$2,698	$2,742
Sussex County	$1,753	$2,059	$2,170	$2,420	$2,459


district-of-columbia
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
District of Columbia	$2,910	$3,418	$3,602	$4,016	$4,081


florida
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Alachua County	$1,735	$2,038	$2,147	$2,394	$2,433
Baker County	$1,547	$1,817	$1,915	$2,135	$2,170
Bay County	$1,706	$2,003	$2,111	$2,354	$2,392
Bradford County	$1,395	$1,639	$1,727	$1,926	$1,957
Brevard County	$1,740	$2,044	$2,154	$2,402	$2,440
Broward County	$2,270	$2,667	$2,810	$3,133	$3,184
Calhoun County	$1,333	$1,566	$1,650	$1,840	$1,869
Charlotte County	$1,678	$1,971	$2,077	$2,316	$2,353
Citrus County	$1,361	$1,598	$1,684	$1,878	$1,908
Clay County	$1,701	$1,998	$2,105	$2,347	$2,385
Collier County	$2,203	$2,587	$2,726	$3,039	$3,089
Columbia County	$1,458	$1,713	$1,805	$2,013	$2,045
DeSoto County	$1,379	$1,620	$1,707	$1,903	$1,934
Dixie County	$1,311	$1,539	$1,622	$1,809	$1,838
Duval County	$1,723	$2,024	$2,133	$2,378	$2,417
Escambia County	$1,608	$1,889	$1,990	$2,219	$2,255
Flagler County	$1,690	$1,984	$2,091	$2,331	$2,369
Franklin County	$1,492	$1,752	$1,846	$2,058	$2,092
Gadsden County	$1,407	$1,652	$1,741	$1,941	$1,973
Gilchrist County	$1,471	$1,728	$1,821	$2,030	$2,063
Glades County	$1,340	$1,573	$1,658	$1,849	$1,879
Gulf County	$1,483	$1,741	$1,835	$2,046	$2,079
Hamilton County	$1,295	$1,521	$1,603	$1,787	$1,816
Hardee County	$1,391	$1,634	$1,722	$1,920	$1,951
Hendry County	$1,452	$1,705	$1,797	$2,004	$2,036
Hernando County	$1,526	$1,792	$1,888	$2,105	$2,139
Highlands County	$1,412	$1,658	$1,747	$1,948	$1,979
Hillsborough County	$1,912	$2,245	$2,366	$2,638	$2,681
Holmes County	$1,314	$1,543	$1,626	$1,813	$1,842
Indian River County	$1,679	$1,972	$2,078	$2,317	$2,354
Jackson County	$1,271	$1,493	$1,573	$1,754	$1,782
Jefferson County	$1,538	$1,807	$1,904	$2,123	$2,157
Lafayette County	$1,431	$1,681	$1,771	$1,975	$2,007
Lake County	$1,717	$2,017	$2,125	$2,369	$2,408
Lee County	$1,815	$2,131	$2,246	$2,504	$2,545
Leon County	$1,752	$2,057	$2,168	$2,417	$2,456
Levy County	$1,391	$1,634	$1,722	$1,920	$1,951
Liberty County	$1,260	$1,480	$1,560	$1,739	$1,767
Madison County	$1,324	$1,554	$1,638	$1,826	$1,856
Manatee County	$1,964	$2,307	$2,431	$2,711	$2,754
Marion County	$1,445	$1,697	$1,788	$1,994	$2,026
Martin County	$2,031	$2,385	$2,513	$2,802	$2,847
Miami-Dade County	$2,291	$2,691	$2,836	$3,162	$3,213
Monroe County	$3,065	$3,600	$3,793	$4,229	$4,297
Nassau County	$1,796	$2,110	$2,223	$2,479	$2,519
Okaloosa County	$1,850	$2,172	$2,289	$2,552	$2,593
Okeechobee County	$1,488	$1,748	$1,842	$2,054	$2,087
Orange County	$1,951	$2,292	$2,415	$2,693	$2,736
Osceola County	$1,796	$2,110	$2,223	$2,479	$2,519
Palm Beach County	$2,215	$2,601	$2,741	$3,056	$3,106
Pasco County	$1,760	$2,067	$2,178	$2,428	$2,468
Pinellas County	$1,868	$2,194	$2,312	$2,578	$2,619
Polk County	$1,635	$1,921	$2,024	$2,257	$2,293
Putnam County	$1,375	$1,615	$1,702	$1,898	$1,928
St. Johns County	$2,160	$2,537	$2,673	$2,980	$3,029
St. Lucie County	$1,815	$2,131	$2,246	$2,504	$2,545
Santa Rosa County	$1,787	$2,099	$2,212	$2,466	$2,506
Sarasota County	$1,862	$2,187	$2,305	$2,570	$2,612
Seminole County	$1,940	$2,279	$2,401	$2,677	$2,720
Sumter County	$1,659	$1,948	$2,053	$2,289	$2,326
Suwannee County	$1,333	$1,566	$1,650	$1,840	$1,869
Taylor County	$1,379	$1,620	$1,707	$1,903	$1,934
Union County	$1,324	$1,554	$1,638	$1,826	$1,856
Volusia County	$1,643	$1,929	$2,033	$2,267	$2,303
Wakulla County	$1,553	$1,824	$1,922	$2,143	$2,178
Walton County	$1,957	$2,298	$2,422	$2,701	$2,744
Washington County	$1,423	$1,671	$1,761	$1,964	$1,995


georgia
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Appling County	$1,217	$1,429	$1,506	$1,679	$1,706
Atkinson County	$1,215	$1,427	$1,504	$1,677	$1,704
Bacon County	$1,222	$1,435	$1,512	$1,686	$1,713
Baker County	$1,370	$1,610	$1,696	$1,891	$1,922
Baldwin County	$1,492	$1,753	$1,847	$2,059	$2,093
Banks County	$1,513	$1,777	$1,872	$2,087	$2,121
Barrow County	$1,587	$1,864	$1,964	$2,190	$2,225
