County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Nemaha County	$1,568	$1,841	$1,940	$2,163	$2,198
Neosho County	$1,300	$1,527	$1,609	$1,794	$1,823
Ness County	$1,281	$1,505	$1,586	$1,768	$1,797
Norton County	$1,222	$1,435	$1,512	$1,686	$1,713
Osage County	$1,446	$1,698	$1,789	$1,995	$2,027
Osborne County	$1,151	$1,352	$1,425	$1,589	$1,615
Ottawa County	$1,655	$1,944	$2,048	$2,284	$2,320
Pawnee County	$1,368	$1,607	$1,693	$1,888	$1,918
Phillips County	$1,214	$1,426	$1,503	$1,676	$1,703
Pottawatomie County	$1,798	$2,112	$2,225	$2,481	$2,521
Pratt County	$1,375	$1,615	$1,702	$1,898	$1,928
Rawlins County	$1,553	$1,824	$1,922	$2,143	$2,178
Reno County	$1,402	$1,647	$1,735	$1,935	$1,966
Republic County	$1,345	$1,580	$1,665	$1,856	$1,886
Rice County	$1,342	$1,576	$1,661	$1,852	$1,882
Riley County	$1,806	$2,121	$2,235	$2,492	$2,532
Rooks County	$1,245	$1,462	$1,541	$1,718	$1,746
Rush County	$1,182	$1,388	$1,463	$1,631	$1,658
Russell County	$1,507	$1,770	$1,865	$2,079	$2,113
Saline County	$1,450	$1,703	$1,794	$2,000	$2,033
Scott County	$1,378	$1,619	$1,706	$1,902	$1,933
Sedgwick County	$1,607	$1,888	$1,989	$2,218	$2,254
Seward County	$1,570	$1,844	$1,943	$2,166	$2,201
Shawnee County	$1,518	$1,783	$1,879	$2,095	$2,129
Sheridan County	$1,515	$1,779	$1,875	$2,091	$2,124
Sherman County	$1,404	$1,649	$1,738	$1,938	$1,969
Smith County	$1,256	$1,476	$1,555	$1,734	$1,762
Stafford County	$1,387	$1,628	$1,716	$1,913	$1,944
Stanton County	$1,436	$1,686	$1,777	$1,981	$2,013
Stevens County	$1,699	$1,996	$2,103	$2,345	$2,383
Sumner County	$1,542	$1,812	$1,909	$2,129	$2,163
Thomas County	$1,378	$1,619	$1,706	$1,902	$1,933
Trego County	$1,354	$1,591	$1,676	$1,869	$1,899
Wabaunsee County	$1,536	$1,804	$1,901	$2,120	$2,154
Wallace County	$1,399	$1,644	$1,732	$1,931	$1,962
Washington County	$1,305	$1,533	$1,615	$1,801	$1,830
Wichita County	$1,534	$1,801	$1,898	$2,116	$2,150
Wilson County	$1,281	$1,504	$1,585	$1,767	$1,796
Woodson County	$1,443	$1,695	$1,786	$1,991	$2,024
Wyandotte County	$1,559	$1,832	$1,930	$2,152	$2,187



