County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Scott County	$1,276	$1,498	$1,579	$1,761	$1,789
Shannon County	$1,227	$1,442	$1,519	$1,694	$1,721
Shelby County	$1,179	$1,385	$1,459	$1,627	$1,653
Stoddard County	$1,259	$1,479	$1,558	$1,737	$1,765
Stone County	$1,526	$1,793	$1,889	$2,106	$2,140
Sullivan County	$1,285	$1,509	$1,590	$1,773	$1,801
Taney County	$1,417	$1,665	$1,754	$1,956	$1,987
Texas County	$1,170	$1,374	$1,448	$1,615	$1,641
Vernon County	$1,291	$1,517	$1,598	$1,782	$1,811
Warren County	$1,577	$1,852	$1,952	$2,176	$2,212
Washington County	$1,267	$1,488	$1,568	$1,748	$1,777
Wayne County	$1,256	$1,475	$1,554	$1,733	$1,761
Webster County	$1,368	$1,607	$1,693	$1,888	$1,918
Worth County	$1,271	$1,493	$1,573	$1,754	$1,782
Wright County	$1,187	$1,394	$1,469	$1,638	$1,664
St. Louis city	$1,577	$1,852	$1,952	$2,176	$2,212



