County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Stanton County	$1,477	$1,735	$1,828	$2,038	$2,071
Thayer County	$1,327	$1,558	$1,642	$1,831	$1,860
Thomas County	$1,105	$1,297	$1,367	$1,524	$1,549
Thurston County	$1,340	$1,574	$1,659	$1,850	$1,880
Valley County	$1,319	$1,550	$1,633	$1,821	$1,850
Washington County	$1,920	$2,255	$2,376	$2,649	$2,692
Wayne County	$1,399	$1,644	$1,732	$1,931	$1,962
Webster County	$1,281	$1,505	$1,586	$1,768	$1,797
Wheeler County	$1,415	$1,662	$1,751	$1,952	$1,984
York County	$1,440	$1,691	$1,782	$1,987	$2,019



