County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Macon County	$1,403	$1,647	$1,736	$1,936	$1,967
Macoupin County	$1,355	$1,591	$1,677	$1,870	$1,900
Madison County	$1,593	$1,871	$1,972	$2,199	$2,234
Marion County	$1,327	$1,558	$1,642	$1,831	$1,860
Marshall County	$1,361	$1,599	$1,685	$1,879	$1,909
Mason County	$1,285	$1,509	$1,590	$1,773	$1,801
Massac County	$1,354	$1,591	$1,676	$1,869	$1,899
Menard County	$1,559	$1,831	$1,929	$2,151	$2,186
Mercer County	$1,406	$1,651	$1,740	$1,940	$1,971
Monroe County	$1,988	$2,335	$2,461	$2,744	$2,788
Montgomery County	$1,301	$1,528	$1,610	$1,795	$1,824
Morgan County	$1,362	$1,600	$1,686	$1,880	$1,910
Moultrie County	$1,278	$1,501	$1,582	$1,764	$1,792
Ogle County	$1,577	$1,852	$1,952	$2,176	$2,212
Peoria County	$1,549	$1,819	$1,917	$2,137	$2,172
Perry County	$1,282	$1,506	$1,587	$1,770	$1,798
Piatt County	$1,599	$1,878	$1,979	$2,207	$2,242
Pike County	$1,224	$1,438	$1,515	$1,689	$1,716
Pope County	$1,407	$1,652	$1,741	$1,941	$1,973
Pulaski County	$1,146	$1,346	$1,418	$1,581	$1,607
Putnam County	$1,638	$1,924	$2,027	$2,260	$2,297
Randolph County	$1,389	$1,631	$1,719	$1,917	$1,948
Richland County	$1,288	$1,513	$1,594	$1,777	$1,806
Rock Island County	$1,450	$1,703	$1,795	$2,001	$2,034
St. Clair County	$1,684	$1,978	$2,084	$2,324	$2,361
Saline County	$1,290	$1,515	$1,596	$1,780	$1,808
Sangamon County	$1,567	$1,840	$1,939	$2,162	$2,197
Schuyler County	$1,313	$1,542	$1,625	$1,812	$1,841
Scott County	$1,269	$1,491	$1,571	$1,752	$1,780
Shelby County	$1,319	$1,549	$1,632	$1,820	$1,849
Stark County	$1,308	$1,536	$1,619	$1,805	$1,834
Stephenson County	$1,427	$1,676	$1,766	$1,969	$2,001
Tazewell County	$1,547	$1,817	$1,915	$2,135	$2,170
Union County	$1,448	$1,701	$1,792	$1,998	$2,030
Vermilion County	$1,279	$1,502	$1,583	$1,765	$1,794
Wabash County	$1,418	$1,665	$1,755	$1,957	$1,988
Warren County	$1,243	$1,460	$1,538	$1,715	$1,743
Washington County	$1,536	$1,804	$1,901	$2,120	$2,154
Wayne County	$1,303	$1,531	$1,613	$1,798	$1,828
White County	$1,275	$1,498	$1,578	$1,759	$1,788
Whiteside County	$1,355	$1,591	$1,677	$1,870	$1,900
Will County	$2,221	$2,609	$2,749	$3,065	$3,115
Williamson County	$1,454	$1,707	$1,799	$2,006	$2,038
Winnebago County	$1,488	$1,747	$1,841	$2,053	$2,086
Woodford County	$1,692	$1,987	$2,094	$2,335	$2,373



