County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Norman County	$1,364	$1,602	$1,688	$1,882	$1,913
Olmsted County	$1,879	$2,206	$2,325	$2,592	$2,634
Otter Tail County	$1,620	$1,903	$2,005	$2,236	$2,272
Pennington County	$1,534	$1,801	$1,898	$2,116	$2,150
Pine County	$1,597	$1,876	$1,977	$2,204	$2,240
Pipestone County	$1,292	$1,517	$1,599	$1,783	$1,812
Polk County	$1,653	$1,942	$2,046	$2,281	$2,318
Pope County	$1,647	$1,934	$2,038	$2,272	$2,309
Ramsey County	$1,931	$2,268	$2,390	$2,665	$2,708
Red Lake County	$1,576	$1,851	$1,950	$2,174	$2,209
Redwood County	$1,400	$1,645	$1,733	$1,932	$1,963
Renville County	$1,498	$1,759	$1,854	$2,067	$2,101
Rice County	$1,871	$2,197	$2,315	$2,581	$2,623
Rock County	$1,519	$1,784	$1,880	$2,096	$2,130
Roseau County	$1,526	$1,793	$1,889	$2,106	$2,140
St. Louis County	$1,575	$1,850	$1,949	$2,173	$2,208
Scott County	$2,237	$2,628	$2,769	$3,087	$3,137
Sherburne County	$1,942	$2,280	$2,403	$2,679	$2,723
Sibley County	$1,627	$1,910	$2,013	$2,244	$2,281
Stearns County	$1,715	$2,015	$2,123	$2,367	$2,405
Steele County	$1,697	$1,993	$2,100	$2,342	$2,379
Stevens County	$1,496	$1,758	$1,852	$2,065	$2,098
Swift County	$1,441	$1,692	$1,783	$1,988	$2,020
Todd County	$1,454	$1,707	$1,799	$2,006	$2,038
Traverse County	$1,427	$1,676	$1,766	$1,969	$2,001
Wabasha County	$1,731	$2,033	$2,142	$2,388	$2,427
Wadena County	$1,412	$1,658	$1,747	$1,948	$1,979
Waseca County	$1,570	$1,844	$1,943	$2,166	$2,201
Washington County	$2,208	$2,594	$2,733	$3,047	$3,096
Watonwan County	$1,392	$1,635	$1,723	$1,921	$1,952
Wilkin County	$1,416	$1,664	$1,753	$1,955	$1,986
Winona County	$1,556	$1,828	$1,926	$2,147	$2,182
Wright County	$2,016	$2,368	$2,495	$2,782	$2,827
Yellow Medicine County	$1,498	$1,759	$1,854	$2,067	$2,101



